,parameter1,parameter2,parameter3,parameter4,frequency,Z,B
0,32087.7748399263,83619.3911064889,4466.99769452851,8136.83345049189,0.08,1.0024778088571467,0.000445950276327845
1,32087.7748399263,83619.3911064889,4466.99769452851,8136.83345049189,0.16,1.0098690853208057,0.0017883452924853853
2,32087.7748399263,83619.3911064889,4466.99769452851,8136.83345049189,0.24,1.0220443990507013,0.004040120244775464
3,32087.7748399263,83619.3911064889,4466.99769452851,8136.83345049189,0.32,1.0387781850473405,0.0072204502584233615
4,32087.7748399263,83619.3911064889,4466.99769452851,8136.83345049189,0.4,1.0597343971257256,0.011350985233643472
5,32087.7748399263,83619.3911064889,4466.99769452851,8136.83345049189,0.48,1.0844477101503502,0.016450263242599475
6,32087.7748399263,83619.3911064889,4466.99769452851,8136.83345049189,0.56,1.1123025127777595,0.022526151731887746
7,32087.7748399263,83619.3911064889,4466.99769452851,8136.83345049189,0.64,1.1425137214534362,0.02956638608312724
8,32087.7748399263,83619.3911064889,4466.99769452851,8136.83345049189,0.72,1.1741156042587797,0.03752771325434471
9,32087.7748399263,83619.3911064889,4466.99769452851,8136.83345049189,0.8,1.2059666896929542,0.04632481245569185
10,32087.7748399263,83619.3911064889,4466.99769452851,8136.83345049189,0.88,1.2367793195316703,0.05582095538939271
11,32087.7748399263,83619.3911064889,4466.99769452851,8136.83345049189,0.96,1.2651800898020515,0.06582302252662386
12,32087.7748399263,83619.3911064889,4466.99769452851,8136.83345049189,1.04,1.2898013608405232,0.07608359793555783
13,32087.7748399263,83619.3911064889,4466.99769452851,8136.83345049189,1.12,1.30939479135881,0.08631202029066354
14,32087.7748399263,83619.3911064889,4466.99769452851,8136.83345049189,1.2,1.3229483299690692,0.09619436905030047
15,32087.7748399263,83619.3911064889,4466.99769452851,8136.83345049189,1.28,1.3297827741905346,0.10541986809561693
16,32087.7748399263,83619.3911064889,4466.99769452851,8136.83345049189,1.36,1.32960657097967,0.11370905819131773
17,32087.7748399263,83619.3911064889,4466.99769452851,8136.83345049189,1.44,1.322518047210109,0.12083831924737572
18,32087.7748399263,83619.3911064889,4466.99769452851,8136.83345049189,1.52,1.3089584307433195,0.12665631137912875
19,32087.7748399263,83619.3911064889,4466.99769452851,8136.83345049189,1.6,1.2896306792236525,0.13109018107418077
20,32087.7748399263,83619.3911064889,4466.99769452851,8136.83345049189,1.68,1.265404048181948,0.13414193505571054
21,32087.7748399263,83619.3911064889,4466.99769452851,8136.83345049189,1.76,1.2372222891112763,0.13587729530431067
22,32087.7748399263,83619.3911064889,4466.99769452851,8136.83345049189,1.84,1.2060272389357618,0.13641020177134486
23,32087.7748399263,83619.3911064889,4466.99769452851,8136.83345049189,1.92,1.172702821533822,0.13588603003880553
24,32087.7748399263,83619.3911064889,4466.99769452851,8136.83345049189,2.0,1.138039360831072,0.13446590781664752
25,32087.7748399263,83619.3911064889,4466.99769452851,8136.83345049189,2.08,1.1027152140491128,0.13231362452221881
26,32087.7748399263,83619.3911064889,4466.99769452851,8136.83345049189,2.16,1.0672916609711904,0.1295857954006464
27,32087.7748399263,83619.3911064889,4466.99769452851,8136.83345049189,2.24,1.0322170242098339,0.12642530015252745
28,32087.7748399263,83619.3911064889,4466.99769452851,8136.83345049189,2.32,0.9978365633638778,0.12295760392828887
29,32087.7748399263,83619.3911064889,4466.99769452851,8136.83345049189,2.4,0.9644054256431777,0.11928936511141065
30,32087.7748399263,83619.3911064889,4466.99769452851,8136.83345049189,2.48,0.9321026657538382,0.11550868991207879
31,32087.7748399263,83619.3911064889,4466.99769452851,8136.83345049189,2.56,0.9010449880258762,0.11168645134391536
32,32087.7748399263,83619.3911064889,4466.99769452851,8136.83345049189,2.64,0.8712993837384428,0.1078781989442582
33,32087.7748399263,83619.3911064889,4466.99769452851,8136.83345049189,2.72,0.842894231775859,0.10412630809176933
34,32087.7748399263,83619.3911064889,4466.99769452851,8136.83345049189,2.8,0.8158287109820438,0.10046213080164734
35,32087.7748399263,83619.3911064889,4466.99769452851,8136.83345049189,2.88,0.7900805558078529,0.09690800229599761
36,32087.7748399263,83619.3911064889,4466.99769452851,8136.83345049189,2.96,0.7656122942814502,0.09347902664968075
37,32087.7748399263,83619.3911064889,4466.99769452851,8136.83345049189,3.04,0.742376159786707,0.09018461238047712
38,32087.7748399263,83619.3911064889,4466.99769452851,8136.83345049189,3.12,0.7203178836628243,0.08702975906304415
39,32087.7748399263,83619.3911064889,4466.99769452851,8136.83345049189,3.2,0.6993795684898866,0.0840161133730973
40,32087.7748399263,83619.3911064889,4466.99769452851,8136.83345049189,3.28,0.6795018224801936,0.08114282139914925
41,32087.7748399263,83619.3911064889,4466.99769452851,8136.83345049189,3.36,0.6606253106709101,0.0784072067586471
42,32087.7748399263,83619.3911064889,4466.99769452851,8136.83345049189,3.44,0.6426918529944462,0.07580530334094603
43,32087.7748399263,83619.3911064889,4466.99769452851,8136.83345049189,3.52,0.6256451752748277,0.07333226896197242
44,32087.7748399263,83619.3911064889,4466.99769452851,8136.83345049189,3.6,0.6094313979696966,0.07098270288335828
45,32087.7748399263,83619.3911064889,4466.99769452851,8136.83345049189,3.68,0.593999329456806,0.06875088664639645
46,32087.7748399263,83619.3911064889,4466.99769452851,8136.83345049189,3.76,0.5793006157957555,0.06663096434740505
47,32087.7748399263,83619.3911064889,4466.99769452851,8136.83345049189,3.84,0.5652897868866166,0.06461707550739339
48,32087.7748399263,83619.3911064889,4466.99769452851,8136.83345049189,3.92,0.5519242294049002,0.06270345112790965
49,32087.7748399263,83619.3911064889,4466.99769452851,8136.83345049189,4.0,0.5391641094081467,0.06088448137680868
